,group,intersection_density_km,street_density_km,buildings_density,natural_terrain_density,pubs_dist_to_nearest,education_buildings_dist_to_nearest,entertainment_buildings_dist_to_nearest,shops_dist_to_nearest,office_dist_to_nearest,pubs_share,education_buildings_share,entertainment_buildings_share,shops_share,office_share,average_dist_to_any_public_transport_stop,mode_dist_to_any_public_transport_stop,cycleways_to_highways,all_railways_to_highway,avg_dist_from_building_to_center,average_dist_to_park,average_dist_to_greenland,average_street_length,circuity_avg,one_way_percentage,share_of_separated_streets,streets_in_radius_of_100_m,avg_dist_between_crossroads,circuity,avg_distance_to_5_buildings,distance_between_buildings,buildings_density_in_2km_radius,avg_building_area,network_orientation,circuity_between_crossroads,streets_per_node_avg,buildings_uniformity,share_of_buildings_near_center,traffic_lights_share,trunk_percentage,primary_percentage,secondary_percentage,tertiary_percentage
"Recklinghausen, Germany",0,26.539764998174995,6991.5885335468965,0.08703078934970115,0.16907008242713847,242.7372343538189,593.9351230993202,504.69519040637635,91.48004709656094,167.04170342484898,0.005212336664104535,0.0015853189853958494,0.0005524596464258263,0.015709069946195236,0.00302651806302844,195.9899839329669,110.0,0.2822082470935895,0.2514253475504877,3079.882135826023,693.8194261835896,233.0135814839244,158.2229570994684,1.0565269061971991,0.2496842105263158,0.13642105263157894,11.197052631578947,184.06959410625774,1.3687811940318506,21.54894441599236,11.714161520425105,0.2513473670034493,140.13133508028815,0.4497134239389127,1.068481534676115,2.7838405036726126,0.4844326477254519,0.21705724164425666,0.001947796279217941,0.01305263157894737,0.028210526315789474,0.27621052631578946,0.09852631578947367
"Moers, Germany",0,20.90265924887745,4952.577861754684,0.07561692195463755,0.17123035813290918,356.02405205264694,627.5033042410197,1057.1203222121167,173.678233141356,480.41618183859856,0.0027669172932330826,0.0009022556390977444,0.00042105263157894734,0.0050325814536340855,0.001263157894736842,226.75115857736165,160.0,0.20613483807705488,0.2979129932662341,2936.299732856347,833.1348624094087,87.81250826741484,141.2924451746803,1.0640039602401563,0.1546477699041267,0.1834097540641934,10.376406836181742,164.25894488601682,1.337204992147712,17.961470519118983,9.521229256707423,0.21710055802483832,103.33384405492852,0.2372948493998627,1.0754139710264126,2.6570004531037608,0.4351443948556798,0.18458978933231773,0.001068907358340573,0.010837849103793248,0.035014589412255104,0.2267611504793664,0.06044185077115465
"Dorsten, Germany",0,8.576056812580914,2612.664834148253,0.029896270899507117,0.1698782290721659,406.41260968837435,670.1372971937609,779.6813798776317,160.1180349814351,567.3541274963385,0.0028408450386670572,0.0012851441841589069,0.0004058350055238653,0.00919892679187428,0.0012851441841589069,230.288475126115,110.0,0.3467620345117601,0.23751071729733125,4894.968830280683,1050.390611169777,172.20696205431324,176.68420386643248,1.0693490444193685,0.15218331171638566,0.21054907047124946,9.358841331603976,201.03791753568282,1.3202365146066488,21.213044410398084,10.844397604740946,0.15636637582804744,116.01107401674363,0.2669997873155777,1.0753917309695442,2.6194285714285708,0.30258999717779395,0.35586306371278537,0.00070927441322226,0.0,0.11543450064850845,0.06614785992217899,0.09727626459143968
"Dinslaken, Germany",0,24.40023276874683,5280.048507516718,0.06917932242444219,0.16354113820607116,393.08256589483597,516.9105352880273,628.2290322255923,154.51995009540667,498.7872209504168,0.002121953375968878,0.0009430903893195014,0.0005010167693259849,0.006424803277239103,0.00041260204532728173,198.87171281182097,110.0,0.27903471871461616,0.2343806198252869,2164.148371344235,951.1919127320564,388.68516172855783,127.85742303240751,1.0675632442167355,0.16951566951566951,0.1972934472934473,9.903846153846152,151.40302431982133,1.3942286004975537,17.226237574283545,9.00885060148294,0.21907532704604896,99.11535438315859,0.2656484894984465,1.07773770303665,2.6694785276073616,0.41010296277973823,0.15253887841658811,0.0014097559862568153,0.0,0.07122507122507123,0.1866096866096866,0.05555555555555555
"Castrop-Rauxel, Germany",0,19.68989142359472,4539.1098591210475,0.0659914890670394,0.2796123417738073,337.7144027130044,660.4882341595727,1014.9520572186354,110.99944361382678,340.81076362800343,0.003473669584549118,0.0009031540919827707,0.00045157704599138533,0.010282061970265391,0.0014589412255106293,183.75146164849517,110.0,0.2922439676119946,0.2616903273819155,3033.609903354621,758.1121717088762,304.98821952427187,136.70962674418578,1.0556017389523575,0.2311526479750779,0.16822429906542055,10.205607476635514,160.55969972909202,1.3076286848873937,21.256353169751588,11.03394024491785,0.094537669833448,118.55797593796294,0.2749691362920301,1.0633439129618063,2.65267175572519,0.4487588639287777,0.12039866648145575,0.0015030571677329722,0.0,0.0940809968847352,0.21869158878504674,0.08348909657320873
"Gladbeck, Germany",0,23.194476863213964,5932.356438346306,0.0887421302944484,0.24995507568959616,312.99171183406213,622.1633431674344,2062.2478949972033,123.1951446510747,1153.5435735314745,0.002635306519089501,0.000988239944658563,0.00019764798893171266,0.00810356754620022,0.0003294133148861877,159.71327101599815,100.0,0.1813716288670341,0.4690140109358356,2021.0127924746037,656.2615281920953,221.7987107578077,152.9300931528661,1.0469977770899557,0.25223759153783565,0.15459723352318958,10.170056956875511,178.9048970771632,1.3860213007901128,18.21406538534378,9.729565501903064,0.17507010164120013,105.63807291927151,0.3620775669664573,1.0570358918716922,2.7624190064794822,0.4748459558541822,0.1490335539530442,0.002027200116693225,0.004882017900732303,0.0854353132628153,0.1562245728234337,0.12611879576891782
"Marl, Germany",0,18.60219452751148,4887.423628860267,0.05528698789654173,0.14064122971349505,544.4426056215149,727.3680724150764,2038.6826974357614,162.08500876707996,445.1960321586509,0.0027714479275728274,0.0011085791710291311,0.00018476319517152185,0.008006405124099279,0.0011393730368910516,216.2820112044891,110.0,0.2153369369019994,0.4214217545075714,3608.150660122381,908.1291960485852,305.9295967192401,157.61704852227595,1.0844917492228636,0.1911532385466035,0.20115850447604006,9.902053712480251,178.87867296438807,1.35701477565704,23.79073179812077,12.588452321306805,0.13788265286477658,150.13240431594542,0.1647013677854452,1.0915266308278984,2.7506024096385544,0.4103549610439806,0.17514698186967095,0.0012541176880822495,0.01369141653501843,0.0984728804634018,0.17851500789889416,0.0984728804634018
"Mulheim an der Ruhr, Germany",0,26.503117426267462,5677.343010235237,0.0875023163630326,0.13638898280284353,278.83706106437137,559.6681596559902,636.551122444778,117.66008877322002,380.4352813327233,0.005244367347762067,0.0015329689170381427,0.00094802025132622,0.012989894507533736,0.0017346753534905298,186.132864727276,100.0,0.2817946870402057,0.5999843739130374,3026.988336836265,343.4495765308528,175.89157925417314,128.34948635097493,1.0661638705187313,0.3763191763191763,0.11531531531531533,12.755984555984554,161.14886571950174,1.3380627743297344,23.406991434273905,12.604401910345135,0.2318726466834657,162.8174454388109,0.07600607511643667,1.0812901194284341,2.7591883614088815,0.4892186344790956,0.15885044035550894,0.004418081468406564,0.0,0.09523809523809523,0.20617760617760614,0.16988416988416988
"Regensburg, Germany",1,23.999643335365587,6121.9586386840665,0.10458323837398813,0.12896987593153295,153.2029618596274,274.8852715512282,507.813511129484,86.76738844298708,198.2242995168017,0.01943160729231105,0.005858593209854082,0.0017102725519449805,0.03708016447727521,0.010370801644772751,172.23992491651669,130.0,0.3694724666472648,0.4094058382215493,2858.9285712351893,460.68106799291655,250.89076210955932,148.25195328608254,1.0626182452881792,0.3747214262973576,0.12925819802610633,12.212671123845912,177.46201961348598,1.405539844372243,31.347820292999568,18.97527594573353,0.2513680250872333,316.13605345530226,0.40113943328730295,1.072881290646707,2.7322524101665207,0.5292898477329336,0.20639007760934214,0.003071571768947457,0.029926774912448263,0.032155364533588034,0.1448583253740847,0.2451448583253741
"Augsburg, Germany",1,28.66957502687439,5788.886225155667,0.08278335822580585,0.09269055888174164,170.5473747214273,364.8733876413928,561.6218395409352,77.04368172194603,250.39754484482415,0.014259322368303053,0.003192653310135777,0.0012196653094900722,0.030688931537316375,0.004824852474306316,192.25627667681985,160.0,0.44471881022901605,0.5870233604833589,3482.299481661986,744.8540967774846,261.6490278266612,121.088918682156,1.0564237302127986,0.3003341687552214,0.1217627401837928,12.781537176274018,144.92846270174817,1.329766943069425,26.552516661314662,15.618519497524387,0.32268604396833106,222.1864249531596,0.4125705381257785,1.070662742832345,2.7936932121859974,0.4707655730783887,0.22068990221012288,0.0020148240378494954,0.03446115288220551,0.049707602339181284,0.1299081035923141,0.21324143692564745
